,item,Unique Visitors,Visits,Page Views,Bounce Rate,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Account Number
69,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,11,14,22,44.44444444,2.51,0,0,0,ACCT0065581
70,www.servicenow.com/success/optimize.html,11,11,35,25,0.61,0,0,0,ACCT0065581
71,www.servicenow.com/success/value-calculator-csm.html,10,11,21,0,1.8,0,0,0,ACCT0065581
72,www.servicenow.com/success/plan/it/cmdb-deployment.html,9,10,11,50,0.54,0,0,0,ACCT0065581
73,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,9,9,16,33.33333333,1.1,0,0,0,ACCT0065581
74,www.servicenow.com/success.html,13,13,18,20,0.42,0,0,0,ACCT0065581
75,www.servicenow.com/success/value-calculator-it.html,8,8,19,20,0.84,0,0,0,ACCT0065581
76,www.servicenow.com/success/value-calculator-csm.html,7,7,9,100,0.16,0,0,0,ACCT0065581
77,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,3,3,3,100,0,0,0,0,ACCT0065581
78,www.servicenow.com/success/deploy/now/cmdb-discovery.html,3,3,3,66.66666667,0.01,0,0,0,ACCT0065581
79,www.servicenow.com/success/plan/start-implementation.html,2,2,2,100,0,0,0,0,ACCT0065581
80,www.servicenow.com/success/value-calculator-it-form.html,1,1,1,100,0,0,0,0,ACCT0065581
81,www.servicenow.com/success/deploy/now/drive-adoption.html,1,1,1,100,0,0,0,0,ACCT0065581
82,www.servicenow.com/success/deploy/now/performance-analytics.html,1,1,1,0,0.35,0,0,0,ACCT0065581
83,www.servicenow.com/success/plan/start-implementation/stage1.html,1,1,1,0,0.07,0,0,0,ACCT0065581
84,www.servicenow.com/success.html,2,2,2,100,0,0,0,0,ACCT0065581
85,www.servicenow.com/success/plan.html,15,15,50,0,0.72,0,0,0,ACCT0019679
86,www.servicenow.com/success/deploy/now/performance-analytics.html,13,13,15,71.42857143,2.33,0,0,0,ACCT0019679
87,www.servicenow.com/success/value-calculator-csm.html,11,11,23,100,0.67,0,0,0,ACCT0019679
88,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,10,13,16,100,2.08,0,0,0,ACCT0019679
89,www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,ACCT0019679
90,www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,ACCT0019679
91,www.servicenow.com/success.html,100,112,201,40,0.95,0,0,0,ACCT0019679
92,www.servicenow.com/success/value-calculator-it.html,39,44,79,68.75,1.08,0,0,0,ACCT0019679
93,www.servicenow.com/success/plan.html,14,15,42,50,1.12,0,0,0,ACCT0019679
94,www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,ACCT0019679
95,www.servicenow.com/success/deploy/now/performance-analytics.html,11,12,17,50,1.67,0,0,0,ACCT0019679
96,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,11,14,22,44.44444444,2.51,0,0,0,ACCT0019679
97,www.servicenow.com/success/optimize.html,11,11,35,25,0.61,0,0,0,ACCT0019679
98,www.servicenow.com/success/value-calculator-csm.html,10,11,21,0,1.8,0,0,0,ACCT0019679
99,www.servicenow.com/success/plan/it/cmdb-deployment.html,9,10,11,50,0.54,0,0,0,ACCT0019679
100,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,9,9,16,33.33333333,1.1,0,0,0,ACCT0019679
101,www.servicenow.com/success.html,13,13,18,20,0.42,0,0,0,ACCT0019679
102,www.servicenow.com/success/value-calculator-it.html,8,8,19,20,0.84,0,0,0,ACCT0019679
103,www.servicenow.com/success/value-calculator-csm.html,7,7,9,100,0.16,0,0,0,ACCT0019679
104,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,3,3,3,100,0,0,0,0,ACCT0019679
105,www.servicenow.com/success/deploy/now/cmdb-discovery.html,3,3,3,66.66666667,0.01,0,0,0,ACCT0019679
106,www.servicenow.com/success/plan/start-implementation.html,2,2,2,100,0,0,0,0,ACCT0019679
107,www.servicenow.com/success/value-calculator-it-form.html,1,1,1,100,0,0,0,0,ACCT0019679
108,www.servicenow.com/success/deploy/now/drive-adoption.html,1,1,1,100,0,0,0,0,ACCT0019679
109,www.servicenow.com/success/deploy/now/performance-analytics.html,1,1,1,0,0.35,0,0,0,ACCT0019679
110,www.servicenow.com/success/plan/start-implementation/stage1.html,1,1,1,0,0.07,0,0,0,ACCT0019679
111,www.servicenow.com/success.html,2,2,2,100,0,0,0,0,ACCT0019679
112,www.servicenow.com/lpbp/integrate-your-tenable-securitycenter-with-servicenow.html,3,3,10,33.33333333,5.96,0,5,166.67,ACCT0019679
113,www.servicenow.com/success/deploy/now/performance-analytics.html,1,2,2,50,1.5,0,0,0,ACCT0019679
114,www.servicenow.com/success/deploy/now/security-center/stage1.html,1,1,1,INF,0,0,0,0,ACCT0019679
115,www.servicenow.com/products/servicenow-platform/configuration-management-database.html,0,0,0,0,INF,0,0,INF,ACCT0019679
116,www.servicenow.com/success/deploy/now/performance-analytics.html,13,13,15,71.42857143,2.33,0,0,0,ACCT0001406
117,www.servicenow.com/success/value-calculator-csm.html,11,11,23,100,0.67,0,0,0,ACCT0001406
118,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,10,13,16,100,2.08,0,0,0,ACCT0001406
119,www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,ACCT0001406
120,www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,ACCT0001406
121,www.servicenow.com/success.html,100,112,201,40,0.95,0,0,0,ACCT0001406
122,www.servicenow.com/success/value-calculator-it.html,39,44,79,68.75,1.08,0,0,0,ACCT0001406
123,www.servicenow.com/success/plan.html,14,15,42,50,1.12,0,0,0,ACCT0001406
124,www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,ACCT0001406
125,www.servicenow.com/success/deploy/now/performance-analytics.html,11,12,17,50,1.67,0,0,0,ACCT0001406
126,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,11,14,22,44.44444444,2.51,0,0,0,ACCT0001406
127,www.servicenow.com/success/optimize.html,11,11,35,25,0.61,0,0,0,ACCT0001406
128,www.servicenow.com/success/value-calculator-csm.html,10,11,21,0,1.8,0,0,0,ACCT0001406
129,www.servicenow.com/success/plan/it/cmdb-deployment.html,9,10,11,50,0.54,0,0,0,ACCT0001406
130,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,9,9,16,33.33333333,1.1,0,0,0,ACCT0001406
131,www.servicenow.com/success.html,13,13,18,20,0.42,0,0,0,ACCT0001406
132,www.servicenow.com/success/value-calculator-it.html,8,8,19,20,0.84,0,0,0,ACCT0001406
133,www.servicenow.com/success/value-calculator-csm.html,7,7,9,100,0.16,0,0,0,ACCT0001406
134,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,3,3,3,100,0,0,0,0,ACCT0001406
135,www.servicenow.com/success/deploy/now/cmdb-discovery.html,3,3,3,66.66666667,0.01,0,0,0,ACCT0001406
136,www.servicenow.com/success/plan/start-implementation.html,2,2,2,100,0,0,0,0,ACCT0001406
137,www.servicenow.com/success/value-calculator-it-form.html,1,1,1,100,0,0,0,0,ACCT0001406
138,www.servicenow.com/success/deploy/now/drive-adoption.html,1,1,1,100,0,0,0,0,ACCT0001406
139,www.servicenow.com/success/deploy/now/performance-analytics.html,1,1,1,0,0.35,0,0,0,ACCT0001406
140,www.servicenow.com/success/plan/start-implementation/stage1.html,1,1,1,0,0.07,0,0,0,ACCT0001406
141,www.servicenow.com/success.html,2,2,2,100,0,0,0,0,ACCT0001406
142,www.servicenow.com/lpbp/integrate-your-tenable-securitycenter-with-servicenow.html,3,3,10,33.33333333,5.96,0,5,166.67,ACCT0001406
143,www.servicenow.com/success/deploy/now/performance-analytics.html,1,2,2,50,1.5,0,0,0,ACCT0001406
144,www.servicenow.com/success/deploy/now/security-center/stage1.html,1,1,1,INF,0,0,0,0,ACCT0001406
145,www.servicenow.com/products/servicenow-platform/configuration-management-database.html,0,0,0,0,INF,0,0,INF,ACCT0001406
146,www.servicenow.com/success.html,2,2,9,50,1.45,0,0,0,ACCT0001406
147,www.servicenow.com/success/value-calculator-it.html,2,2,4,0,1.99,0,0,0,ACCT0001406
148,www.servicenow.com/success/plan/start-implementation.html,1,1,1,INF,0.75,0,0,0,ACCT0001406
149,www.servicenow.com/success/plan.html,1,1,1,INF,0.18,0,0,0,ACCT0001406
150,www.servicenow.com/success/value-calculator-csm.html,11,11,23,100,0.67,0,0,0,ACCT0023867
151,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,10,13,16,100,2.08,0,0,0,ACCT0023867
152,www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,ACCT0023867
153,www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,ACCT0023867
154,www.servicenow.com/success.html,100,112,201,40,0.95,0,0,0,ACCT0023867
155,www.servicenow.com/success/value-calculator-it.html,39,44,79,68.75,1.08,0,0,0,ACCT0023867
156,www.servicenow.com/success/plan.html,14,15,42,50,1.12,0,0,0,ACCT0023867
157,www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,ACCT0023867
158,www.servicenow.com/success/deploy/now/performance-analytics.html,11,12,17,50,1.67,0,0,0,ACCT0023867
159,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,11,14,22,44.44444444,2.51,0,0,0,ACCT0023867
160,www.servicenow.com/success/optimize.html,11,11,35,25,0.61,0,0,0,ACCT0023867
161,www.servicenow.com/success/value-calculator-csm.html,10,11,21,0,1.8,0,0,0,ACCT0023867
162,www.servicenow.com/success/plan/it/cmdb-deployment.html,9,10,11,50,0.54,0,0,0,ACCT0023867
163,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,9,9,16,33.33333333,1.1,0,0,0,ACCT0023867
164,www.servicenow.com/success.html,13,13,18,20,0.42,0,0,0,ACCT0023867
165,www.servicenow.com/success/value-calculator-it.html,8,8,19,20,0.84,0,0,0,ACCT0023867
166,www.servicenow.com/success/value-calculator-csm.html,7,7,9,100,0.16,0,0,0,ACCT0023867
167,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,3,3,3,100,0,0,0,0,ACCT0023867
168,www.servicenow.com/success/deploy/now/cmdb-discovery.html,3,3,3,66.66666667,0.01,0,0,0,ACCT0023867
169,www.servicenow.com/success/plan/start-implementation.html,2,2,2,100,0,0,0,0,ACCT0023867
170,www.servicenow.com/success/value-calculator-it-form.html,1,1,1,100,0,0,0,0,ACCT0023867
171,www.servicenow.com/success/deploy/now/drive-adoption.html,1,1,1,100,0,0,0,0,ACCT0023867
172,www.servicenow.com/success/deploy/now/performance-analytics.html,1,1,1,0,0.35,0,0,0,ACCT0023867
173,www.servicenow.com/success/plan/start-implementation/stage1.html,1,1,1,0,0.07,0,0,0,ACCT0023867
174,www.servicenow.com/success.html,2,2,2,100,0,0,0,0,ACCT0023867
175,www.servicenow.com/lpbp/integrate-your-tenable-securitycenter-with-servicenow.html,3,3,10,33.33333333,5.96,0,5,166.67,ACCT0023867
176,www.servicenow.com/success/deploy/now/performance-analytics.html,1,2,2,50,1.5,0,0,0,ACCT0023867
177,www.servicenow.com/success/deploy/now/security-center/stage1.html,1,1,1,INF,0,0,0,0,ACCT0023867
178,www.servicenow.com/products/servicenow-platform/configuration-management-database.html,0,0,0,0,INF,0,0,INF,ACCT0023867
179,www.servicenow.com/success.html,2,2,9,50,1.45,0,0,0,ACCT0023867
180,www.servicenow.com/success/value-calculator-it.html,2,2,4,0,1.99,0,0,0,ACCT0023867
181,www.servicenow.com/success/plan/start-implementation.html,1,1,1,INF,0.75,0,0,0,ACCT0023867
182,www.servicenow.com/success/plan.html,1,1,1,INF,0.18,0,0,0,ACCT0023867
183,www.servicenow.com/success/extend/automate-management/stage4.html,1,1,1,100,0,0,0,0,ACCT0023867
184,www.servicenow.com/success.html,1,1,1,INF,1.27,0,0,0,ACCT0023867
185,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,10,13,16,100,2.08,0,0,0,ACCT0106566
186,www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,ACCT0106566
187,www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,ACCT0106566
188,www.servicenow.com/success.html,100,112,201,40,0.95,0,0,0,ACCT0106566
189,www.servicenow.com/success/value-calculator-it.html,39,44,79,68.75,1.08,0,0,0,ACCT0106566
190,www.servicenow.com/success/plan.html,14,15,42,50,1.12,0,0,0,ACCT0106566
191,www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,ACCT0106566
192,www.servicenow.com/success/deploy/now/performance-analytics.html,11,12,17,50,1.67,0,0,0,ACCT0106566
193,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,11,14,22,44.44444444,2.51,0,0,0,ACCT0106566
194,www.servicenow.com/success/optimize.html,11,11,35,25,0.61,0,0,0,ACCT0106566
195,www.servicenow.com/success/value-calculator-csm.html,10,11,21,0,1.8,0,0,0,ACCT0106566
196,www.servicenow.com/success/plan/it/cmdb-deployment.html,9,10,11,50,0.54,0,0,0,ACCT0106566
197,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,9,9,16,33.33333333,1.1,0,0,0,ACCT0106566
198,www.servicenow.com/success.html,13,13,18,20,0.42,0,0,0,ACCT0106566
199,www.servicenow.com/success/value-calculator-it.html,8,8,19,20,0.84,0,0,0,ACCT0106566
200,www.servicenow.com/success/value-calculator-csm.html,7,7,9,100,0.16,0,0,0,ACCT0106566
201,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,3,3,3,100,0,0,0,0,ACCT0106566
202,www.servicenow.com/success/deploy/now/cmdb-discovery.html,3,3,3,66.66666667,0.01,0,0,0,ACCT0106566
203,www.servicenow.com/success/plan/start-implementation.html,2,2,2,100,0,0,0,0,ACCT0106566
204,www.servicenow.com/success/value-calculator-it-form.html,1,1,1,100,0,0,0,0,ACCT0106566
205,www.servicenow.com/success/deploy/now/drive-adoption.html,1,1,1,100,0,0,0,0,ACCT0106566
206,www.servicenow.com/success/deploy/now/performance-analytics.html,1,1,1,0,0.35,0,0,0,ACCT0106566
207,www.servicenow.com/success/plan/start-implementation/stage1.html,1,1,1,0,0.07,0,0,0,ACCT0106566
208,www.servicenow.com/success.html,2,2,2,100,0,0,0,0,ACCT0106566
209,www.servicenow.com/lpbp/integrate-your-tenable-securitycenter-with-servicenow.html,3,3,10,33.33333333,5.96,0,5,166.67,ACCT0106566
210,www.servicenow.com/success/deploy/now/performance-analytics.html,1,2,2,50,1.5,0,0,0,ACCT0106566
211,www.servicenow.com/success/deploy/now/security-center/stage1.html,1,1,1,INF,0,0,0,0,ACCT0106566
212,www.servicenow.com/products/servicenow-platform/configuration-management-database.html,0,0,0,0,INF,0,0,INF,ACCT0106566
213,www.servicenow.com/success.html,2,2,9,50,1.45,0,0,0,ACCT0106566
214,www.servicenow.com/success/value-calculator-it.html,2,2,4,0,1.99,0,0,0,ACCT0106566
215,www.servicenow.com/success/plan/start-implementation.html,1,1,1,INF,0.75,0,0,0,ACCT0106566
216,www.servicenow.com/success/plan.html,1,1,1,INF,0.18,0,0,0,ACCT0106566
217,www.servicenow.com/success/extend/automate-management/stage4.html,1,1,1,100,0,0,0,0,ACCT0106566
218,www.servicenow.com/success.html,1,1,1,INF,1.27,0,0,0,ACCT0106566
219,www.servicenow.com/success.html,1,1,8,INF,2.02,0,0,0,ACCT0106566
220,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,1,1,2,INF,0.07,0,0,0,ACCT0106566
221,www.servicenow.com/success/deploy.html,1,1,1,INF,0.22,0,0,0,ACCT0106566
222,www.servicenow.com/success/upgrade,1,1,1,INF,0,0,0,0,ACCT0106566
223,www.servicenow.com/,0,0,0,0,INF,0,0,INF,ACCT0106566
224,www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,ACCT0071663
225,www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,ACCT0071663
226,www.servicenow.com/success.html,100,112,201,40,0.95,0,0,0,ACCT0071663
227,www.servicenow.com/success/value-calculator-it.html,39,44,79,68.75,1.08,0,0,0,ACCT0071663
228,www.servicenow.com/success/plan.html,14,15,42,50,1.12,0,0,0,ACCT0071663
229,www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,ACCT0071663
230,www.servicenow.com/success/deploy/now/performance-analytics.html,11,12,17,50,1.67,0,0,0,ACCT0071663
231,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,11,14,22,44.44444444,2.51,0,0,0,ACCT0071663
232,www.servicenow.com/success/optimize.html,11,11,35,25,0.61,0,0,0,ACCT0071663
233,www.servicenow.com/success/value-calculator-csm.html,10,11,21,0,1.8,0,0,0,ACCT0071663
234,www.servicenow.com/success/plan/it/cmdb-deployment.html,9,10,11,50,0.54,0,0,0,ACCT0071663
235,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,9,9,16,33.33333333,1.1,0,0,0,ACCT0071663
236,www.servicenow.com/success.html,13,13,18,20,0.42,0,0,0,ACCT0071663
237,www.servicenow.com/success/value-calculator-it.html,8,8,19,20,0.84,0,0,0,ACCT0071663
238,www.servicenow.com/success/value-calculator-csm.html,7,7,9,100,0.16,0,0,0,ACCT0071663
239,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,3,3,3,100,0,0,0,0,ACCT0071663
240,www.servicenow.com/success/deploy/now/cmdb-discovery.html,3,3,3,66.66666667,0.01,0,0,0,ACCT0071663
241,www.servicenow.com/success/plan/start-implementation.html,2,2,2,100,0,0,0,0,ACCT0071663
242,www.servicenow.com/success/value-calculator-it-form.html,1,1,1,100,0,0,0,0,ACCT0071663
243,www.servicenow.com/success/deploy/now/drive-adoption.html,1,1,1,100,0,0,0,0,ACCT0071663
244,www.servicenow.com/success/deploy/now/performance-analytics.html,1,1,1,0,0.35,0,0,0,ACCT0071663
245,www.servicenow.com/success/plan/start-implementation/stage1.html,1,1,1,0,0.07,0,0,0,ACCT0071663
246,www.servicenow.com/success.html,2,2,2,100,0,0,0,0,ACCT0071663
247,www.servicenow.com/lpbp/integrate-your-tenable-securitycenter-with-servicenow.html,3,3,10,33.33333333,5.96,0,5,166.67,ACCT0071663
248,www.servicenow.com/success/deploy/now/performance-analytics.html,1,2,2,50,1.5,0,0,0,ACCT0071663
249,www.servicenow.com/success/deploy/now/security-center/stage1.html,1,1,1,INF,0,0,0,0,ACCT0071663
250,www.servicenow.com/products/servicenow-platform/configuration-management-database.html,0,0,0,0,INF,0,0,INF,ACCT0071663
251,www.servicenow.com/success.html,2,2,9,50,1.45,0,0,0,ACCT0071663
252,www.servicenow.com/success/value-calculator-it.html,2,2,4,0,1.99,0,0,0,ACCT0071663
253,www.servicenow.com/success/plan/start-implementation.html,1,1,1,INF,0.75,0,0,0,ACCT0071663
254,www.servicenow.com/success/plan.html,1,1,1,INF,0.18,0,0,0,ACCT0071663
255,www.servicenow.com/success/extend/automate-management/stage4.html,1,1,1,100,0,0,0,0,ACCT0071663
256,www.servicenow.com/success.html,1,1,1,INF,1.27,0,0,0,ACCT0071663
257,www.servicenow.com/success.html,1,1,8,INF,2.02,0,0,0,ACCT0071663
258,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,1,1,2,INF,0.07,0,0,0,ACCT0071663
259,www.servicenow.com/success/deploy.html,1,1,1,INF,0.22,0,0,0,ACCT0071663
260,www.servicenow.com/success/upgrade,1,1,1,INF,0,0,0,0,ACCT0071663
261,www.servicenow.com/,0,0,0,0,INF,0,0,INF,ACCT0071663
262,www.servicenow.com/success.html,1,1,2,INF,1.52,0,0,0,ACCT0071663
263,www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,ACCT0000069
264,www.servicenow.com/success.html,100,112,201,40,0.95,0,0,0,ACCT0000069
265,www.servicenow.com/success/value-calculator-it.html,39,44,79,68.75,1.08,0,0,0,ACCT0000069
266,www.servicenow.com/success/plan.html,14,15,42,50,1.12,0,0,0,ACCT0000069
267,www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,ACCT0000069
268,www.servicenow.com/success/deploy/now/performance-analytics.html,11,12,17,50,1.67,0,0,0,ACCT0000069
269,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,11,14,22,44.44444444,2.51,0,0,0,ACCT0000069
270,www.servicenow.com/success/optimize.html,11,11,35,25,0.61,0,0,0,ACCT0000069
