item,Unique Visitors,Visits,Page Views,Bounces,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Total Weekly Unique Visitors,Account Number,Date,Granularity
www.servicenow.com/success/value-calculator-intelligent-apps.html,6,6,12,0,0.76,0,0,0,132,Not In List,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm-form-1.html,1,1,5,0,2.02,0,2,200,132,Not In List,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,95,100,238,25,2.34,0,0,0,112,ISP Visitor,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,20,25,93,2,4.73,0,0,0,112,ISP Visitor,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-it-form-1.html,16,17,30,1,0.92,0,10,58.82,112,ISP Visitor,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,9,12,22,4,4.27,0,0,0,112,ISP Visitor,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-security-ops.html,7,7,14,0,3.77,0,0,0,112,ISP Visitor,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-intelligent-apps.html,6,7,11,1,0.19,0,0,0,112,ISP Visitor,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr-form-1.html,4,4,13,0,7.26,0,7,175,112,ISP Visitor,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm-form-1.html,4,4,5,0,10.67,0,1,25,112,ISP Visitor,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,16,16,27,8,2.03,0,0,0,17,::unspecified::,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,1,1,1,0,0.57,0,0,0,17,::unspecified::,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,1,1,3,0,2.18,0,0,0,1,ACCT0004916,Tue. 24 Jul. 2018,day
,,,,,,,,,,ACCT0001406,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,2,2,2,2,0,0,0,0,2,ACCT0065581,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,2,2,6,0,2.29,0,0,0,2,ACCT0000069,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,1,1,1,0,0.2,0,0,0,2,ACCT0000069,Tue. 24 Jul. 2018,day
,,,,,,,,,,ACCT0102579,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,1,1,1,0,0.1,0,0,0,1,ACCT0015457,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,1,1,1,1,0,0,0,0,1,ACCT0037228,Tue. 24 Jul. 2018,day
